Symbol,Date,Open,High,Low,Close,Volume
089600,2013-07-17,15050,17300,14700,15350,4220159
089600,2013-07-18,15750,15900,13500,14200,1184244
089600,2013-07-19,14200,14450,13700,13900,564263
089600,2013-07-22,14100,14300,13550,14300,600938
089600,2013-07-23,14300,14550,14050,14400,297634
089600,2013-07-24,14250,14400,13900,13900,244924
089600,2013-07-25,13850,13950,13200,13200,216622
089600,2013-07-26,13250,13600,12900,13400,211827
089600,2013-07-29,13400,13450,12750,12750,144490
089600,2013-07-30,12800,13150,12200,12200,223945
089600,2013-07-31,12400,12400,12000,12200,158224
089600,2013-08-01,12250,12350,11900,12050,290164
089600,2013-08-02,12100,13850,12000,12700,1244801
089600,2013-08-05,12750,12900,12400,12500,250983
089600,2013-08-06,12600,12900,12450,12550,204960
089600,2013-08-07,12450,12900,12100,12100,329849
089600,2013-08-08,12250,12450,11600,11600,251409
089600,2013-08-09,11700,11850,11550,11650,86054
089600,2013-08-12,11600,11850,11250,11250,114577
089600,2013-08-13,11100,11450,11000,11200,98231
089600,2013-08-14,11300,11950,11250,11400,231046
089600,2013-08-16,11250,11550,11200,11300,81540
089600,2013-08-19,11150,11200,10400,10550,444778
089600,2013-08-20,10650,11000,10250,10550,321122
089600,2013-08-21,10500,10800,10000,10550,181986
089600,2013-08-22,10500,11000,10300,10700,294051
089600,2013-08-23,10900,11200,10750,10950,190558
089600,2013-08-26,11000,11250,10750,11000,164369
089600,2013-08-27,10900,12050,10900,11400,728418
089600,2013-08-28,11250,11700,11200,11300,347674
089600,2013-08-29,11450,11550,11050,11150,219821
089600,2013-08-30,11200,11600,10700,10700,453983
089600,2013-09-02,10800,11050,10700,10900,90137
089600,2013-09-03,10950,11200,10900,11100,85969
089600,2013-09-04,11200,11500,10850,10900,150187
089600,2013-09-05,11000,11150,10750,10750,100135
089600,2013-09-06,10850,10900,10550,10650,79893
089600,2013-09-09,10650,10800,10300,10350,101411
089600,2013-09-10,10400,10600,10300,10450,55078
089600,2013-09-11,10750,10900,10600,10700,99895
089600,2013-09-12,10750,11350,10700,11100,221312
089600,2013-09-13,11300,11800,11200,11450,356060
089600,2013-09-16,11400,11400,10900,10950,168630
089600,2013-09-17,11000,11050,10650,10700,99289
089600,2013-09-23,10600,10750,10500,10550,108129
089600,2013-09-24,10550,10850,10450,10600,85371
089600,2013-09-25,10600,10750,10350,10400,90205
089600,2013-09-26,10500,10600,10400,10600,48748
089600,2013-09-27,10600,11250,10600,11050,168424
089600,2013-09-30,11050,11250,10900,11200,76881
089600,2013-10-01,11100,11600,10950,11100,180099
089600,2013-10-02,11350,11500,11250,11450,134482
089600,2013-10-04,11400,11450,11050,11150,65421
089600,2013-10-07,11250,11750,11200,11350,163602
089600,2013-10-08,11350,11900,11200,11850,233410
089600,2013-10-10,11950,12650,11850,12350,417308
089600,2013-10-11,12600,12850,12150,12500,277907
089600,2013-10-14,12650,12700,12050,12250,143916
089600,2013-10-15,12350,12850,12000,12850,221839
089600,2013-10-16,12800,13050,11750,11850,363744
089600,2013-10-17,12150,12350,11450,12200,234595
089600,2013-10-18,12100,12300,11850,11850,75375
089600,2013-10-21,12150,12150,11850,11900,71051
089600,2013-10-22,11950,12100,11700,11950,51487
089600,2013-10-23,12050,12400,11850,12150,129606
089600,2013-10-24,12200,12550,11850,12550,145913
089600,2013-10-25,12700,12900,12350,12800,127038
089600,2013-10-28,12900,12950,12500,12600,64922
089600,2013-10-29,12750,13350,12450,12450,262059
089600,2013-10-30,12400,12650,12200,12350,68454
089600,2013-10-31,12500,13100,12400,12850,188580
089600,2013-11-01,13200,13650,13100,13250,286351
089600,2013-11-04,13400,13450,13000,13000,91035
089600,2013-11-05,13050,13100,12550,13050,172163
089600,2013-11-06,13050,13600,12850,13250,184765
089600,2013-11-07,13250,13600,13000,13300,95848
089600,2013-11-08,13200,13400,12350,12450,258720
089600,2013-11-11,12500,12650,11950,12100,110263
089600,2013-11-12,12100,12650,12100,12450,43167
089600,2013-11-13,12550,12600,12100,12100,39130
089600,2013-11-14,12550,13000,12300,12950,64658
089600,2013-11-15,12950,13250,12750,13000,56839
089600,2013-11-18,13250,13250,12750,12800,33997
089600,2013-11-19,12750,13000,12350,13000,65523
089600,2013-11-20,13200,13300,12800,12950,33081
089600,2013-11-21,13000,13000,12550,12600,35433
089600,2013-11-22,12700,13150,12600,12950,41981
089600,2013-11-25,13150,13200,12600,12650,73461
089600,2013-11-26,12550,12700,12250,12400,79024
089600,2013-11-27,12400,12600,12250,12450,42484
089600,2013-11-28,12500,12500,12200,12250,60879
089600,2013-11-29,12250,12350,12000,12150,90212
089600,2013-12-02,12150,12300,10950,11500,239292
089600,2013-12-03,11250,11500,10850,10950,107892
089600,2013-12-04,10950,11200,10700,10700,37320
089600,2013-12-05,10800,11100,10800,11000,42781
089600,2013-12-06,10850,11350,10850,11350,84909
089600,2013-12-09,11500,11550,10950,11000,33832
089600,2013-12-10,11050,11200,10950,11050,23384
089600,2013-12-11,10950,11250,10950,11150,19391
089600,2013-12-12,11000,11150,10900,11050,17464
089600,2013-12-13,11250,11250,10850,11150,23313
089600,2013-12-16,11300,11300,10800,10950,27404
089600,2013-12-17,11000,11200,10750,10750,27019
089600,2013-12-18,10900,10950,10600,10600,27833
089600,2013-12-19,10600,10700,10100,10350,85293
